time,segment,weight,position,altitude,speed,pitch,flightPathAngle
293,startup,21414.4083978,0,0,0,0,0
294,startup,21414.408265,0,0,0,0,0
295,startup,21414.4081322,0,0,0,0,0
296,startup,21414.4079993,0,0,0,0,0
297,startup,21414.4078665,0,0,0,0,0
298,startup,21414.4077337,0,0,0,0,0
299,startup,21414.4076008,0,0,0,0,0
300,startup,21414.407468,0,0,0,0,0
301,startup,21414.4073351,0,0,0,0,0
302,startup,21414.4072023,0,0,0,0,0
303,startup,21414.4070695,0,0,0,0,0
304,startup,21414.4069366,0,0,0,0,0
305,startup,21414.4068038,0,0,0,0,0
306,startup,21414.406671,0,0,0,0,0
307,startup,21414.4065381,0,0,0,0,0
308,startup,21414.4064053,0,0,0,0,0
309,startup,21414.4062725,0,0,0,0,0
310,startup,21414.4061396,0,0,0,0,0
311,startup,21414.4060068,0,0,0,0,0
312,startup,21414.4058739,0,0,0,0,0
313,startup,21414.4057411,0,0,0,0,0
314,startup,21414.4056083,0,0,0,0,0
315,startup,21414.4054754,0,0,0,0,0
316,startup,21414.4053426,0,0,0,0,0
317,startup,21414.4052098,0,0,0,0,0
318,startup,21414.4050769,0,0,0,0,0
319,startup,21414.4049441,0,0,0,0,0
320,startup,21414.4048113,0,0,0,0,0
321,startup,21414.4046784,0,0,0,0,0
322,startup,21414.4045456,0,0,0,0,0
323,startup,21414.4044127,0,0,0,0,0
324,startup,21414.4042799,0,0,0,0,0
325,startup,21414.4041471,0,0,0,0,0
326,startup,21414.4040142,0,0,0,0,0
327,startup,21414.4038814,0,0,0,0,0
328,startup,21414.4037486,0,0,0,0,0
329,startup,21414.4036157,0,0,0,0,0
330,startup,21414.4034829,0,0,0,0,0
331,startup,21414.4033501,0,0,0,0,0
332,startup,21414.4032172,0,0,0,0,0
333,startup,21414.4030844,0,0,0,0,0
334,startup,21414.4029515,0,0,0,0,0
335,startup,21414.4028187,0,0,0,0,0
336,startup,21414.4026859,0,0,0,0,0
337,startup,21414.402553,0,0,0,0,0
338,startup,21414.4024202,0,0,0,0,0
339,startup,21414.4022874,0,0,0,0,0
340,startup,21414.4021545,0,0,0,0,0
341,startup,21414.4020217,0,0,0,0,0
342,startup,21414.4018889,0,0,0,0,0
343,startup,21414.401756,0,0,0,0,0
344,startup,21414.4016232,0,0,0,0,0
345,startup,21414.4014903,0,0,0,0,0
346,startup,21414.4013575,0,0,0,0,0
347,startup,21414.4012247,0,0,0,0,0
348,startup,21414.4010918,0,0,0,0,0
349,startup,21414.400959,0,0,0,0,0
350,startup,21414.4008262,0,0,0,0,0
351,startup,21414.4006933,0,0,0,0,0
352,startup,21414.4005605,0,0,0,0,0
353,startup,21414.4004277,0,0,0,0,0
354,startup,21414.4002948,0,0,0,0,0
355,startup,21414.400162,0,0,0,0,0
356,startup,21414.4000292,0,0,0,0,0
357,startup,21414.3998963,0,0,0,0,0
358,startup,21414.3997635,0,0,0,0,0
359,startup,21414.3996306,0,0,0,0,0
360,startup,21414.3994978,0,0,0,0,0
361,startup,21414.399365,0,0,0,0,0
362,startup,21414.3992321,0,0,0,0,0
363,startup,21414.3990993,0,0,0,0,0
364,startup,21414.3989665,0,0,0,0,0
365,startup,21414.3988336,0,0,0,0,0
366,startup,21414.3987008,0,0,0,0,0
367,startup,21414.398568,0,0,0,0,0
368,startup,21414.3984351,0,0,0,0,0
369,startup,21414.3983023,0,0,0,0,0
370,startup,21414.3981694,0,0,0,0,0
371,startup,21414.3980366,0,0,0,0,0
372,startup,21414.3979038,0,0,0,0,0
373,startup,21414.3977709,0,0,0,0,0
374,startup,21414.3976381,0,0,0,0,0
375,startup,21414.3975053,0,0,0,0,0
376,startup,21414.3973724,0,0,0,0,0
377,startup,21414.3972396,0,0,0,0,0
378,startup,21414.3971068,0,0,0,0,0
379,startup,21414.3969739,0,0,0,0,0
380,startup,21414.3968411,0,0,0,0,0
381,startup,21414.3967082,0,0,0,0,0
382,startup,21414.3965754,0,0,0,0,0
383,startup,21414.3964426,0,0,0,0,0
384,startup,21414.3963097,0,0,0,0,0
385,startup,21414.3961769,0,0,0,0,0
386,startup,21414.3960441,0,0,0,0,0
387,startup,21414.3959112,0,0,0,0,0
388,startup,21414.3957784,0,0,0,0,0
389,startup,21414.3956456,0,0,0,0,0
390,startup,21414.3955127,0,0,0,0,0
391,startup,21414.3953799,0,0,0,0,0
392,startup,21414.395247,0,0,0,0,0
393,startup,21414.3951142,0,0,0,0,0
394,startup,21414.3949814,0,0,0,0,0
395,startup,21414.3948485,0,0,0,0,0
396,startup,21414.3947157,0,0,0,0,0
397,startup,21414.3945829,0,0,0,0,0
398,startup,21414.39445,0,0,0,0,0
399,startup,21414.3943172,0,0,0,0,0
400,startup,21414.3941844,0,0,0,0,0
401,startup,21414.3940515,0,0,0,0,0
402,startup,21414.3939187,0,0,0,0,0
403,startup,21414.3937858,0,0,0,0,0
404,startup,21414.393653,0,0,0,0,0
405,startup,21414.3935202,0,0,0,0,0
406,startup,21414.3933873,0,0,0,0,0
407,startup,21414.3932545,0,0,0,0,0
408,startup,21414.3931217,0,0,0,0,0
409,startup,21414.3929888,0,0,0,0,0
410,startup,21414.392856,0,0,0,0,0
411,startup,21414.3927232,0,0,0,0,0
412,startup,21414.3925903,0,0,0,0,0
413,startup,21414.3924575,0,0,0,0,0
